id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price
271975,Vidigal,Entire home/apt,4,1.0,2.0,2.0,236.0
272335,Copacabana,Entire home/apt,4,1.0,1.0,1.0,723.0
272631,Copacabana,Private room,2,1.0,1.0,2.0,1146.0
273261,Leblon,Entire home/apt,6,3.5,3.0,3.0,6742.0
273363,Santa Teresa,Private room,1,1.0,1.0,1.0,61.0
273463,Lagoa,Entire home/apt,6,2.0,2.0,6.0,1411.0
273496,Leblon,Entire home/apt,6,2.5,2.0,5.0,703.0
273753,Santa Teresa,Private room,1,1.0,1.0,1.0,59.0
274116,Santa Teresa,Entire home/apt,3,1.0,1.0,2.0,225.0
278679,Copacabana,Entire home/apt,2,1.0,0.0,1.0,759.0
17878,Copacabana,Entire home/apt,5,1.0,2.0,2.0,1471.0
25026,Copacabana,Entire home/apt,3,1.0,1.0,2.0,850.0
35764,Copacabana,Entire home/apt,2,1.5,1.0,1.0,324.0
48305,Ipanema,Entire home/apt,13,7.0,6.0,7.0,3532.0
48901,Copacabana,Entire home/apt,11,,4.0,,
49179,Copacabana,Entire home/apt,3,1.0,1.0,1.0,580.0
50759,Barra da Tijuca,Entire home/apt,14,7.0,6.0,10.0,6000.0
51703,Copacabana,Entire home/apt,2,1.0,0.0,1.0,759.0
278745,Ipanema,Entire home/apt,5,3.0,3.0,4.0,5394.0
280625,Botafogo,Private room,3,2.0,1.0,1.0,377.0
280765,Santa Teresa,Entire home/apt,3,1.0,0.0,4.0,140.0
281304,Copacabana,Entire home/apt,4,1.0,1.0,1.0,896.0
281459,Lagoa,Entire home/apt,4,2.0,2.0,2.0,1372.0
282071,Flamengo,Entire home/apt,2,1.0,1.0,1.0,438.0
284762,Copacabana,Entire home/apt,10,2.0,1.0,8.0,1200.0
284910,Copacabana,Entire home/apt,4,1.0,1.0,2.0,5054.0
285363,Copacabana,Entire home/apt,2,1.0,1.0,1.0,943.0
285554,São Conrado,Private room,2,,,,
53533,Joá,Entire home/apt,10,4.0,4.0,8.0,2697.0
60718,Flamengo,Entire home/apt,6,2.0,4.0,4.0,1200.0
61661,Copacabana,Entire home/apt,4,,1.0,2.0,280.0
64795,Ipanema,Entire home/apt,6,2.5,3.0,4.0,1986.0
66797,Copacabana,Entire home/apt,2,1.0,0.0,1.0,743.0
70080,Ipanema,Entire home/apt,5,2.0,1.0,5.0,1310.0
70547,Santa Teresa,Private room,2,1.5,1.0,1.0,223.0
75148,Copacabana,Entire home/apt,4,1.0,1.0,0.0,679.0
76245,Copacabana,Entire home/apt,12,4.0,4.0,8.0,4567.0
286677,Copacabana,Private room,4,0.0,1.0,1.0,864.0
286788,Copacabana,Private room,3,1.0,1.0,2.0,636.0
286792,Copacabana,Private room,3,0.0,1.0,2.0,664.0
289898,Copacabana,Private room,2,1.0,2.0,2.0,640.0
76300,Santa Teresa,Private room,3,5.0,7.0,14.0,203.0
77318,Gávea,Entire home/apt,4,,2.0,,
86670,Leblon,Entire home/apt,4,1.0,1.0,2.0,1258.0
86978,Jacarepaguá,Private room,2,2.0,1.0,2.0,1011.0
87762,Ipanema,Entire home/apt,4,1.0,1.0,3.0,671.0
88528,Copacabana,Entire home/apt,3,1.0,1.0,2.0,1635.0
88781,Copacabana,Entire home/apt,3,1.0,1.0,3.0,1051.0
