id,number_of_reviews,review_scores_rating
272335,367,4.92
272631,32,5.0
273363,5,5.0
273463,654,4.83
273496,60,4.8
273753,4,4.5
274116,48,4.92
278679,59,4.85
17878,327,4.7
25026,304,4.74
35764,498,4.91
49179,177,4.84
51703,288,4.77
280765,3,4.67
281304,37,4.74
281459,41,5.0
284762,10,3.8
285363,126,4.53
60718,13,4.83
64795,95,4.76
70080,606,4.81
70547,94,4.92
286788,28,4.79
286792,1,5.0
76300,251,4.81
86670,122,4.68
86978,0,4.812309491059147
87762,174,4.71
88528,88,4.69
88781,81,4.78
290503,65,4.94
290513,33,4.88
291290,8,4.5
293166,1,5.0
293171,0,4.812309491059147
293725,2,5.0
94895,12,5.0
96431,65,4.82
98969,63,4.83
99336,0,4.812309491059147
99547,69,4.6
294292,144,4.98
295493,15,4.92
295683,182,4.73
295955,29,4.76
303587,39,4.82
106372,9,4.78
107469,2,5.0
108072,196,4.67
125656,96,4.98
127018,10,5.0
128727,5,4.8
306113,166,4.54
310233,30,4.89
311801,195,4.28
313223,189,4.75
130234,1,5.0
137048,60,4.85
141434,94,4.91
146402,100,4.95
154127,0,4.812309491059147
313985,11,5.0
315102,64,4.58
166177,118,4.57
166861,17,4.76
166972,10,4.9
167031,86,4.64
167932,106,4.66
170397,134,4.65
171505,7,4.43
172902,124,4.24
316652,117,4.97
321802,26,4.92
323213,21,4.76
324324,136,4.92
328626,1,5.0
178833,140,4.84
178951,131,4.83
188155,109,4.56
190906,187,4.55
191462,71,4.89
332150,92,4.79
332151,46,4.76
334585,3,4.67
340432,276,4.84
200568,216,4.8
202778,237,4.81
209671,9,4.56
216700,27,4.96
220377,6,5.0
223073,485,4.81
347883,286,4.78
230989,174,4.66
231105,127,4.87
231497,91,4.73
236991,100,4.9
239531,127,4.58
248756,170,4.76
249323,163,4.8
348330,28,4.89
348369,0,4.812309491059147
352718,2,5.0
355197,25,4.36
357554,253,4.84
249842,200,4.89
251868,87,4.83
256323,255,4.81
262466,3,5.0
264816,50,4.98
265072,168,4.87
360877,312,4.89
361568,5,4.8
367183,0,4.812309491059147
369287,109,4.61
380887,121,4.98
392267,191,4.71
